temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction_deg,cloud_cover_pct,dew_point_c,visibility_km,uv_index,temp_change_3h,pressure_change_3h,month,will_rain
39.66,63.24,1003.11,0.98,269.22,31.05,32.31,13.49,8.94,-3.22,2.96,5,0
22.74,56.66,1032.93,13.77,322.36,12.43,14.07,8.14,2.44,2.3,-0.22,11,0
25.68,95.6,1025.26,2.0,27.47,93.33,24.8,1.81,8.79,3.7,1.09,12,1
10.75,73.89,999.3,23.89,334.78,63.81,5.53,11.68,10.49,-0.0,2.53,1,1
19.56,25.19,1017.61,15.4,142.71,2.7,4.59,7.55,1.51,0.2,2.15,7,0
26.11,57.26,1012.23,31.16,331.78,66.24,17.56,7.34,10.77,-2.08,-0.01,3,1
13.49,39.22,1022.38,23.05,27.26,44.72,1.33,13.91,0.27,3.2,-1.41,2,0
28.76,57.58,1009.65,1.78,257.49,97.26,20.27,9.54,5.74,5.21,1.0,6,0
18.99,56.44,1008.39,7.2,264.85,81.91,10.28,15.17,8.51,-0.49,-1.37,2,1
22.08,66.57,1033.54,22.35,358.89,17.13,15.4,8.26,8.69,-1.56,3.63,10,0
18.98,48.54,1011.52,8.1,276.79,72.01,8.69,3.44,8.08,1.02,1.74,8,1
43.52,33.14,1025.4,53.83,137.73,48.56,30.15,9.5,5.82,0.39,0.42,3,0
24.87,60.3,1009.62,19.96,200.61,18.7,16.92,19.04,7.16,-1.5,1.03,2,0
14.42,86.42,1038.0,0.23,131.96,69.87,11.71,16.13,7.7,1.41,0.36,8,1
33.23,73.12,1002.82,31.8,70.57,54.74,27.85,4.51,5.44,2.81,-0.74,6,1
12.79,47.07,1003.79,1.59,89.46,3.04,2.21,8.13,6.55,-2.36,1.0,4,0
27.09,94.84,1035.87,2.27,79.92,64.66,26.06,18.59,9.31,7.63,-0.49,5,1
5.4,92.98,1006.33,19.89,197.57,63.5,4.0,2.91,3.44,-4.6,3.87,10,1
11.72,36.75,1037.02,30.03,326.22,14.41,-0.93,5.45,5.76,-2.56,-1.39,7,0
26.97,23.15,1026.38,11.53,328.58,34.9,11.6,5.61,0.09,0.7,1.02,12,0
32.38,79.3,1010.68,5.12,19.71,58.59,28.25,11.63,7.56,6.74,-1.57,12,1
26.71,86.21,985.8,6.49,28.76,13.88,23.96,8.51,2.15,-1.69,-1.59,4,1
23.84,97.43,1012.71,6.3,88.24,85.27,23.33,2.06,5.29,-3.2,-3.57,12,1
21.99,91.19,1014.52,5.93,91.82,2.75,20.23,12.77,2.31,1.65,0.82,11,0
10.21,68.04,1030.51,4.17,34.16,10.28,3.82,2.43,0.26,-0.75,-1.06,7,0
17.8,62.4,1036.83,14.08,139.85,11.61,10.28,12.33,5.32,2.0,2.17,6,0
20.39,22.23,1002.73,34.6,211.58,52.81,4.84,10.39,4.67,-0.21,0.83,5,0
35.57,39.73,1025.02,5.5,208.14,62.01,23.52,10.13,4.68,-2.57,0.3,3,0
28.44,56.77,1024.48,3.1,195.63,40.37,19.79,1.82,2.3,7.05,-2.82,1,0
7.37,70.28,1029.1,27.36,121.92,28.87,1.43,12.96,10.42,-8.86,1.17,8,0
28.24,64.58,1020.48,20.31,254.32,80.93,21.16,8.91,0.04,5.46,-1.32,11,1
21.15,79.41,983.86,40.07,297.53,6.83,17.03,8.52,9.81,2.8,-2.87,7,0
18.23,42.38,1010.67,2.71,124.66,28.03,6.71,12.13,8.11,-2.24,0.86,6,0
31.12,65.2,995.66,2.34,30.79,3.91,24.16,12.32,1.89,5.62,-2.52,4,0
35.31,27.05,1009.96,11.69,106.68,1.39,20.72,0.79,5.19,-4.11,-4.18,5,0
34.31,53.09,1027.7,14.3,49.45,35.34,24.93,2.94,10.88,3.02,2.59,5,0
16.61,80.01,1017.58,9.81,168.25,19.48,12.61,5.11,7.08,-6.25,-1.12,2,0
21.91,75.47,1030.22,13.71,56.14,26.84,17.0,13.72,1.4,-3.44,-3.49,6,1
28.31,99.25,1018.13,2.98,166.62,82.09,28.16,11.75,5.03,-3.45,-1.93,11,1
34.76,42.23,993.53,9.8,79.56,16.3,23.2,15.27,5.15,-2.25,-1.44,5,0
20.21,59.86,975.19,16.1,265.94,78.02,12.18,14.94,8.82,0.03,2.29,1,1
23.14,46.36,1015.23,8.5,9.92,67.51,12.42,17.14,10.08,-2.48,-3.33,9,1
13.94,55.25,1009.79,17.07,199.71,32.64,4.99,7.85,0.9,-6.11,-2.68,7,0
13.04,88.56,998.35,9.0,61.02,54.66,10.75,7.23,3.45,1.39,1.96,11,1
33.13,74.74,987.49,6.09,0.36,44.44,28.07,16.7,3.28,0.15,-0.9,2,0
38.56,90.6,1001.98,5.43,312.91,12.84,36.68,5.13,10.96,1.23,0.46,6,1
24.28,36.28,1010.08,7.94,241.75,90.72,11.54,9.49,6.15,0.52,-0.98,1,1
35.04,89.87,1022.99,0.35,35.62,56.96,33.01,4.29,9.68,2.86,4.04,2,1
28.62,24.78,1015.83,16.56,239.07,88.02,13.57,18.32,4.69,-0.23,-2.58,7,0
18.55,91.09,1037.12,27.98,220.19,82.38,16.77,8.45,7.95,3.04,0.56,3,1
28.61,46.33,997.47,6.57,170.41,7.98,17.88,4.64,3.15,-2.33,3.01,7,0
40.38,45.17,1026.22,0.71,150.93,20.73,29.41,13.99,10.03,-2.16,-0.75,6,0
24.64,60.97,1013.71,64.89,319.35,14.53,16.84,5.27,5.01,4.13,-1.51,5,0
40.65,95.26,1023.42,4.59,88.25,83.08,39.7,18.9,8.84,4.07,1.53,10,1
-1.2,23.82,1006.45,2.03,143.39,86.24,-16.43,7.67,2.81,1.72,2.01,9,1
33.22,48.18,1029.08,6.92,118.48,52.8,22.85,13.46,7.63,-2.67,-1.6,10,0
25.87,88.53,1017.43,20.12,277.63,10.42,23.58,7.23,4.46,-2.91,2.92,5,1
22.01,51.68,1002.81,5.22,329.93,13.56,12.35,16.24,0.35,3.98,0.1,5,0
25.92,35.93,1012.82,12.82,305.92,81.35,13.1,17.99,4.54,3.82,1.02,8,1
5.12,53.98,1009.41,8.06,287.17,92.92,-4.08,15.86,6.05,-0.19,2.98,7,0
22.8,50.84,1020.34,1.88,355.24,19.95,12.97,17.05,1.67,7.03,1.54,1,0
28.57,93.23,995.3,6.01,250.97,1.11,27.22,2.49,2.02,1.38,-0.0,10,0
39.78,80.95,1012.56,19.36,270.38,33.1,35.97,18.52,5.11,-3.32,-1.34,2,1
19.82,60.41,1018.93,14.2,353.81,3.05,11.9,12.67,3.77,-0.83,5.42,4,0
16.92,99.07,1013.5,1.91,2.52,82.8,16.73,17.45,4.85,0.02,-1.58,9,1
19.98,57.22,1033.2,2.67,228.26,49.15,11.43,13.85,5.07,0.26,0.64,7,0
34.15,24.66,1024.61,15.36,266.03,64.19,19.09,4.44,1.54,3.75,1.02,2,1
28.29,40.98,1012.89,25.18,330.42,41.15,16.48,12.39,1.99,-2.87,1.11,11,0
19.7,54.89,1016.25,6.45,318.18,34.55,10.68,2.27,9.33,-3.99,4.26,12,0
30.13,32.55,1017.43,13.57,303.11,22.22,16.64,14.07,1.79,1.81,0.1,8,0
25.97,95.81,1019.05,2.81,340.48,77.05,25.13,8.48,7.33,-1.52,-0.19,1,1
34.69,81.35,985.62,5.6,193.46,69.55,30.96,3.46,4.6,7.27,3.1,8,1
17.98,41.46,1008.48,0.31,2.49,36.07,6.27,19.59,10.65,2.83,-0.27,5,0
21.72,67.26,990.73,21.93,3.98,32.11,15.18,18.07,0.73,-1.58,1.75,1,0
21.08,77.72,1032.17,7.69,196.07,0.12,16.62,17.92,9.13,3.64,0.39,3,0
10.36,95.3,1012.09,25.4,156.7,6.36,9.43,15.88,5.41,2.19,1.84,11,0
27.96,90.53,1010.1,18.48,162.45,62.33,26.07,13.99,0.06,1.9,1.45,7,0
27.61,61.22,1026.45,26.47,144.15,51.46,19.85,13.27,2.9,-0.37,-0.81,12,0
25.05,81.97,1019.33,5.05,330.38,43.48,21.45,2.57,4.48,1.26,-3.69,7,0
22.65,64.97,996.07,3.07,129.3,82.75,15.65,18.06,3.46,-6.31,-3.35,8,1
10.85,64.22,1011.94,53.58,308.24,50.39,3.69,17.68,3.99,3.95,-3.68,11,1
20.79,29.18,1007.97,18.95,325.03,38.45,6.63,15.08,10.08,-10.31,-0.18,11,0
21.57,30.09,986.83,26.94,179.82,16.13,7.59,18.58,3.97,-1.33,-4.71,4,0
16.98,62.36,1002.65,0.2,160.9,82.07,9.45,11.29,4.61,-4.79,-0.32,6,0
23.39,41.51,1010.25,6.57,273.97,57.62,11.69,9.23,8.37,-1.5,0.27,12,1
29.04,21.68,1011.28,20.37,254.87,9.25,13.38,19.37,8.73,-0.22,1.71,7,0
43.86,77.83,990.77,1.22,118.27,64.89,39.43,9.55,0.92,-3.59,1.01,8,1
26.75,22.6,1030.27,12.57,36.92,42.51,11.27,13.01,7.74,-8.32,1.8,3,0
27.58,67.62,1011.47,8.41,95.35,81.14,21.1,7.77,5.31,0.62,0.83,5,1
24.26,63.14,1013.56,0.27,47.17,91.89,16.88,12.91,1.47,6.26,-0.65,8,1
5.81,97.51,1019.01,4.04,106.1,60.05,5.31,14.54,2.91,-1.05,-0.21,6,1
24.73,58.74,1001.18,5.03,94.26,73.16,16.48,12.68,0.5,2.88,-1.7,1,0
25.6,25.09,1019.85,1.78,229.58,5.66,10.62,10.53,3.96,4.51,0.46,2,0
49.63,64.14,1007.49,14.98,343.62,56.03,42.46,6.35,2.81,-5.7,-3.17,3,1
23.08,87.29,999.55,4.16,246.87,75.53,20.53,13.05,4.2,-1.37,2.13,12,1
28.02,99.75,1021.6,4.88,333.59,49.68,27.97,18.21,6.38,-3.83,-1.91,7,1
24.65,54.43,1035.38,34.28,282.29,59.36,15.54,0.63,8.06,-2.42,0.31,10,0
13.31,45.62,1023.87,9.44,262.04,89.89,2.44,3.11,6.66,5.11,0.64,3,1
36.43,92.53,1026.84,7.47,149.06,19.81,34.93,2.84,7.46,0.67,2.33,9,0
32.52,35.3,1005.19,19.3,116.93,9.82,19.58,18.5,9.52,2.37,-3.36,9,0
32.91,69.23,989.04,36.05,304.66,69.06,26.76,13.42,9.61,-0.13,-0.65,12,0
15.91,52.46,1035.35,0.38,325.94,82.28,6.4,19.06,9.47,-3.63,1.1,12,1
39.03,23.29,1043.82,8.92,162.68,85.05,23.69,11.86,1.68,2.03,3.5,12,0
10.98,47.78,1036.14,14.15,3.26,64.16,0.54,9.5,2.76,3.76,-0.08,11,0
30.87,41.22,1007.96,5.75,285.31,83.32,19.11,15.95,5.53,0.95,-1.19,8,1
46.9,74.89,995.68,22.2,102.62,70.07,41.88,3.64,3.95,1.47,4.05,9,1
15.09,95.9,997.01,53.36,3.56,8.74,14.28,7.94,1.45,-3.7,1.61,8,1
19.34,41.44,987.74,43.08,289.8,76.2,7.63,9.59,3.17,2.12,2.75,9,1
26.0,84.92,1011.39,4.64,186.27,17.94,22.98,6.32,10.73,4.04,-2.42,4,0
19.97,24.43,1037.09,3.85,246.68,23.66,4.85,7.74,3.82,1.21,1.04,4,0
9.49,63.05,1010.88,47.37,329.29,39.47,2.1,2.02,4.61,-5.39,-2.17,5,0
25.69,25.64,1017.53,9.2,194.82,31.46,10.81,4.36,0.07,4.91,-2.61,7,0
14.38,94.72,1033.63,3.5,181.15,32.17,13.32,7.04,7.91,-2.83,1.16,9,1
29.74,81.31,1006.94,18.41,104.64,16.93,26.0,16.02,4.55,1.16,1.3,4,0
15.81,72.64,1043.53,5.02,109.87,29.39,10.33,4.06,1.13,2.86,-0.96,7,1
40.5,85.91,1042.88,4.66,286.76,1.97,37.68,7.26,10.65,3.24,2.86,12,0
17.17,71.8,1011.03,31.71,161.65,47.29,11.53,1.77,8.55,-5.4,-0.74,12,0
21.78,97.52,1004.34,2.66,58.87,76.86,21.28,11.36,7.99,0.35,-0.54,6,1
33.14,77.12,1023.46,1.0,34.03,86.22,28.56,12.42,10.54,0.15,-0.07,9,1
12.69,93.97,1007.79,4.7,170.25,82.04,11.49,17.38,4.48,4.32,-0.49,9,1
27.27,61.37,995.65,14.01,167.38,41.65,19.55,16.47,7.9,1.38,2.55,9,0
38.07,29.37,1032.22,1.97,235.24,73.04,23.94,6.06,2.27,4.34,-2.08,5,0
8.93,62.25,1031.25,9.57,169.58,28.79,1.38,3.17,7.67,1.62,-1.51,3,0
26.85,30.15,1015.33,14.81,51.65,5.56,12.88,3.54,0.15,-0.22,-2.38,6,0
27.6,67.4,994.06,28.33,182.81,67.6,21.08,19.39,1.39,0.58,3.77,2,1
32.82,58.6,994.56,3.92,326.44,64.88,24.54,13.63,4.68,4.57,-0.65,7,0
12.63,69.81,1014.61,25.5,57.4,80.16,6.59,1.33,0.13,-3.89,-1.54,7,1
11.8,20.8,1005.5,4.02,248.31,61.61,-4.04,3.17,5.08,2.72,-0.57,2,0
30.22,35.59,1007.88,16.94,213.79,15.69,17.34,9.97,5.75,-1.88,1.7,6,0
27.97,59.31,1028.33,8.45,269.49,85.32,19.83,4.55,6.84,-2.53,1.33,4,1
27.5,96.04,1024.0,1.83,54.22,62.73,26.71,16.17,1.1,3.07,-1.15,7,1
28.46,50.69,1033.67,18.79,338.98,80.76,18.6,11.68,1.99,-2.65,-0.8,8,1
18.2,53.95,998.14,3.68,223.55,77.41,8.99,12.45,6.75,1.13,-2.91,10,0
27.32,77.18,1007.85,2.92,304.95,29.79,22.76,9.53,7.24,-1.47,0.28,11,0
27.93,68.3,1024.38,6.66,88.78,7.46,21.59,5.49,0.28,-7.07,2.56,1,0
17.86,43.91,1019.72,15.89,266.19,17.65,6.64,11.99,5.94,1.43,-1.16,5,0
43.66,52.87,1035.99,4.0,281.17,9.29,34.23,14.48,8.63,0.38,1.27,9,0
29.74,37.42,1019.31,3.04,143.08,24.34,17.22,7.73,0.76,-5.73,-1.16,2,0
13.09,97.28,1040.72,0.15,138.22,45.95,12.54,10.35,4.54,-2.1,-2.19,4,1
31.57,30.45,1021.1,9.57,236.81,90.68,17.66,16.87,3.59,-5.42,1.36,8,0
15.25,49.75,1028.93,8.4,33.63,87.2,5.2,3.4,10.05,2.2,4.7,12,0
32.87,22.07,1008.15,4.0,264.82,71.86,17.28,11.13,2.04,4.16,1.09,5,0
36.59,37.74,1013.21,0.83,15.44,2.41,24.13,7.29,3.5,2.55,-0.83,8,0
16.79,82.44,1026.66,8.41,68.61,34.14,13.28,14.2,9.88,2.97,-0.7,10,0
34.63,36.09,1037.19,23.28,239.09,68.23,21.85,0.87,3.64,-1.55,3.82,10,0
29.13,26.41,1023.94,18.84,35.4,12.9,14.41,13.57,5.84,1.64,0.61,1,0
33.22,57.96,1011.75,29.58,349.86,80.11,24.81,2.51,0.36,-0.03,-1.53,7,1
43.97,20.8,1033.66,0.14,312.62,91.46,28.13,1.76,10.83,0.56,-0.12,6,0
22.55,26.78,980.12,50.91,225.47,35.41,7.9,14.63,9.07,2.87,0.43,2,0
17.46,84.61,991.67,6.26,294.86,70.58,14.38,12.99,6.98,3.53,0.94,7,1
16.1,81.72,1023.22,69.69,319.53,14.82,12.45,17.95,0.67,-1.17,3.02,3,0
16.84,93.21,1013.21,4.37,93.41,69.08,15.48,10.63,0.82,-4.22,2.55,4,1
24.23,88.36,1022.08,9.57,305.79,2.15,21.9,10.84,5.99,-0.56,0.4,11,0
28.41,74.65,1013.97,6.55,70.13,15.08,23.34,14.29,3.14,-0.66,-0.08,6,0
27.77,24.19,1021.56,6.6,148.8,70.99,12.6,6.81,6.85,0.85,0.79,3,0
33.27,82.63,1000.78,27.7,200.97,71.19,29.8,1.22,6.58,2.5,-1.22,1,1
25.13,87.64,1021.56,20.58,257.0,64.12,22.66,4.99,9.23,-5.74,1.96,10,1
39.54,83.93,1027.92,72.71,10.85,47.74,36.32,5.14,3.1,-2.01,-0.41,1,1
22.35,60.68,1031.31,14.26,104.58,67.49,14.49,7.05,6.36,-2.89,0.98,6,0
52.2,38.63,1043.2,9.33,219.07,77.38,39.93,18.9,8.55,3.75,3.43,4,0
31.26,87.63,1016.66,1.42,128.65,96.65,28.78,16.19,5.4,-0.63,1.11,7,1
16.43,78.17,1017.11,85.09,279.01,88.86,12.06,18.75,9.14,-1.54,0.46,9,0
14.29,98.46,990.15,12.03,234.59,79.45,13.98,19.97,1.44,1.61,-1.03,8,1
29.82,32.46,1005.03,18.08,84.38,69.48,16.32,8.96,8.07,-1.78,-0.16,3,0
22.77,38.05,1010.1,7.83,52.53,57.42,10.38,4.93,10.37,-0.05,-2.27,7,0
32.14,36.94,1028.75,11.9,226.46,12.06,19.53,11.42,3.65,5.44,1.07,1,0
29.73,83.4,1003.83,42.86,162.17,16.56,26.41,17.68,4.03,5.36,-4.27,2,1
24.27,34.95,1024.95,2.73,60.82,82.03,11.26,9.58,0.92,-1.22,1.94,9,0
16.53,25.33,1012.98,5.19,117.49,80.33,1.6,10.36,7.06,-0.55,1.46,10,0
9.85,99.88,1010.34,2.47,109.1,61.45,9.83,3.12,6.08,-1.86,0.2,8,1
20.53,21.99,1016.73,23.57,38.93,43.88,4.93,8.7,0.44,-5.78,-1.07,7,0
33.56,86.82,1007.13,0.96,196.89,2.6,30.93,8.05,8.27,3.11,-0.03,11,0
27.14,49.23,1006.56,1.28,274.91,32.72,16.99,7.36,9.12,7.26,-3.55,10,0
12.54,87.33,987.43,5.32,207.17,42.06,10.01,17.8,9.98,-1.33,1.65,2,0
26.73,64.37,1009.28,10.83,297.46,48.58,19.61,1.66,6.0,-2.45,-0.33,2,0
28.85,92.13,1005.8,7.82,45.92,92.93,27.28,19.46,4.98,-0.82,3.03,7,1
16.16,94.1,1005.26,0.69,156.82,10.87,14.98,0.66,9.64,0.26,0.78,7,0
26.54,20.73,1019.25,47.37,219.39,51.89,10.68,18.94,4.39,-3.41,0.46,6,1
25.58,26.03,1022.88,45.82,243.36,36.79,10.79,11.19,7.21,-1.38,0.8,10,0
13.57,40.03,1016.48,4.91,250.48,99.01,1.58,14.2,6.77,3.04,-1.95,12,0
28.58,73.55,1027.93,19.72,262.43,86.19,23.29,4.15,4.09,0.38,-0.9,5,1
30.61,91.06,1021.63,12.96,234.51,43.88,28.82,13.26,0.96,3.81,0.27,6,1
35.83,56.8,1008.57,4.07,33.92,99.97,27.19,17.7,0.24,1.09,-0.61,12,1
35.54,68.56,1006.06,4.56,250.31,51.41,29.25,3.22,4.71,-3.27,-1.15,9,1
11.22,35.08,1017.69,10.13,260.92,16.71,-1.76,2.98,5.29,-1.73,-0.56,4,0
15.62,84.4,1021.61,8.15,357.65,55.59,12.5,6.43,9.05,0.75,0.09,12,0
30.15,97.39,1033.97,5.16,249.61,22.62,29.63,3.65,4.56,-3.37,4.64,10,0
30.14,41.49,1030.87,24.72,247.26,63.63,18.44,2.66,3.09,-3.76,-0.65,1,0
30.15,59.59,1004.88,9.85,185.33,93.74,22.07,13.73,5.08,-3.58,-1.35,9,1
63.53,26.89,1011.47,15.96,312.45,78.62,48.91,4.67,2.62,1.55,-0.31,8,1
30.71,64.73,1023.07,3.15,358.86,27.32,23.66,13.51,1.0,-1.1,3.0,11,1
36.36,60.22,1029.02,11.44,280.46,29.69,28.4,17.31,1.24,3.55,3.15,2,0
34.54,31.55,1027.08,5.74,220.5,6.93,20.85,13.21,3.51,-2.69,3.9,4,0
31.51,55.37,1012.04,11.21,28.42,28.59,22.59,2.83,0.14,-7.37,0.12,3,0
21.85,46.73,994.19,22.77,261.63,9.26,11.19,11.68,2.42,-0.39,1.28,3,0
32.59,61.75,998.02,21.97,255.08,49.94,24.94,8.18,8.66,4.94,-2.1,6,1
17.27,66.85,1017.09,6.56,279.2,70.83,10.64,7.2,2.58,0.1,-0.71,7,0
22.63,20.68,1018.13,17.78,44.84,75.12,6.77,6.71,1.22,-4.12,-2.23,8,0
20.15,80.88,996.52,42.53,235.34,5.95,16.32,18.62,10.44,-4.87,0.95,7,0
25.82,77.04,1013.67,14.74,106.46,34.0,21.23,14.98,6.85,3.59,0.08,12,1
48.15,49.3,1022.47,2.41,273.7,28.82,38.01,3.11,0.66,-2.42,0.45,9,0
6.33,24.23,995.73,17.08,86.53,10.43,-8.83,9.78,0.68,4.63,-1.69,2,0
31.86,80.39,1029.57,1.66,246.23,36.25,27.94,6.71,6.73,1.96,1.7,10,0
8.87,96.41,1007.34,30.85,106.2,29.93,8.16,19.57,5.94,-2.31,-4.81,4,1
20.28,39.21,1031.86,10.91,3.24,63.45,8.12,19.57,0.75,3.5,-0.5,2,0
35.89,45.88,1005.0,7.3,228.01,88.33,25.07,6.73,2.47,-2.77,-0.21,11,1
25.64,34.71,997.6,0.88,40.78,45.48,12.58,7.37,10.22,-4.34,-4.04,3,0
14.22,66.15,1006.13,7.19,237.34,74.67,7.45,12.19,6.29,-2.6,0.77,10,1
17.85,32.39,1011.57,35.03,333.22,14.6,4.32,9.85,4.84,2.31,-0.35,1,0
31.8,48.5,1007.17,0.32,348.93,89.5,21.5,4.66,2.75,3.41,1.12,8,1
17.7,75.76,1009.76,9.66,84.93,15.26,12.85,13.38,1.47,-1.19,4.0,5,0
27.16,64.81,1018.01,40.14,291.33,19.21,20.13,7.02,4.43,-5.6,0.65,5,0
25.46,50.92,1010.43,7.53,127.28,10.65,15.64,13.25,10.15,-4.67,1.95,8,0
18.48,53.62,1012.01,8.38,324.16,30.97,9.21,7.98,0.54,-3.2,2.76,11,0
46.44,64.97,987.36,12.96,283.5,55.24,39.43,14.15,10.9,-3.88,0.98,9,1
31.34,20.47,1018.88,9.32,26.61,98.8,15.43,13.52,2.29,0.8,-1.73,9,0
4.75,26.28,1011.66,2.77,146.57,79.34,-10.0,10.42,4.5,5.81,-3.28,10,0
26.86,90.5,1037.15,0.28,121.43,38.04,24.96,14.24,0.5,2.39,0.75,9,1
18.38,26.23,998.91,14.12,282.67,57.58,3.63,9.49,6.43,-3.38,-0.8,2,0
33.52,76.54,985.88,38.04,147.7,62.33,28.83,2.76,5.32,-2.08,2.57,7,1
17.07,93.6,1022.27,1.69,246.45,82.27,15.8,4.05,7.33,-1.5,-0.95,7,1
23.85,41.65,1018.2,3.55,216.88,73.65,12.18,5.3,5.97,1.17,-0.03,4,0
30.05,49.64,997.87,6.94,351.23,56.93,19.98,1.73,4.38,4.71,-2.32,5,0
33.66,65.51,990.05,24.81,337.6,66.92,26.76,14.37,8.12,-1.4,-0.69,6,1
13.0,90.54,1036.06,4.71,153.97,74.59,11.1,7.66,0.28,4.62,-1.89,7,1
21.65,95.35,1034.21,32.06,260.49,13.31,20.73,2.32,5.95,6.31,-1.7,2,1
20.25,79.17,975.69,0.85,298.61,20.05,16.08,16.49,1.25,-1.05,-0.11,10,0
18.47,26.93,1006.13,42.44,323.6,68.86,3.85,13.83,4.8,-1.13,-1.21,2,0
42.65,73.53,1037.96,12.34,24.53,85.04,37.36,9.32,8.7,-1.08,5.26,2,1
29.05,52.82,1005.86,16.13,108.75,40.93,19.61,5.32,1.57,0.19,1.67,5,0
12.39,57.66,1005.64,6.88,115.28,97.99,3.92,3.46,10.29,-1.07,2.17,6,0
34.18,23.93,1008.76,22.85,156.4,21.61,18.96,9.44,9.77,2.65,-0.22,11,0
46.22,35.28,996.19,2.73,60.94,41.67,33.28,17.76,4.56,-4.65,0.21,6,0
35.32,83.24,987.43,0.75,178.63,37.85,31.97,4.17,0.07,-1.6,-0.86,3,0
9.81,56.32,1028.79,7.55,238.76,93.03,1.07,11.59,8.69,0.99,5.25,12,1
20.16,44.13,985.36,28.83,179.05,28.54,8.98,19.25,9.69,2.61,-0.22,4,0
37.67,50.72,1016.71,21.09,239.69,47.08,27.81,12.92,1.92,6.59,-1.21,7,1
17.92,88.35,1026.3,10.92,23.92,18.72,15.59,9.08,10.08,-3.87,-1.51,7,1
29.44,79.92,991.23,12.73,315.36,52.13,25.42,14.47,10.06,-1.96,0.67,6,1
32.75,41.79,999.14,2.09,338.06,85.74,21.1,16.58,5.18,-6.8,2.84,1,0
15.73,29.4,1031.2,27.55,222.45,30.4,1.61,12.02,8.78,-3.33,2.17,10,0
24.4,40.16,1020.99,23.19,317.3,81.08,12.44,17.5,4.89,-5.31,-1.51,6,1
-7.41,93.66,1003.74,16.03,47.32,91.13,-8.68,10.53,6.2,-1.56,-1.56,1,1
14.76,66.53,1031.03,9.42,287.08,7.3,8.06,16.69,3.52,-0.69,2.49,11,0
22.47,62.68,1031.1,50.06,42.89,75.64,15.01,19.06,1.75,1.41,4.2,5,1
12.52,67.71,1017.04,31.68,146.88,25.53,6.06,10.27,8.21,-0.9,-0.29,6,1
41.32,49.28,999.5,15.51,116.57,17.53,31.18,12.3,0.02,1.41,2.41,7,0
10.7,84.57,1006.8,6.97,210.81,60.11,7.61,12.38,6.38,0.34,-2.93,8,1
20.6,61.86,1017.3,14.44,108.55,70.56,12.97,15.74,9.51,-3.1,-1.69,9,1
26.31,29.34,1010.17,12.85,229.43,39.48,12.18,16.55,2.43,-5.06,-2.02,6,0
39.41,30.33,1027.08,7.52,132.26,3.92,25.48,1.03,3.66,1.75,0.82,11,0
10.64,62.95,990.05,5.49,309.88,90.87,3.23,14.8,6.46,4.94,-0.36,7,1
36.63,94.93,990.59,7.84,228.2,73.07,35.62,15.78,2.72,7.61,0.48,4,1
25.1,44.67,1015.71,12.8,77.51,27.17,14.04,14.16,9.32,2.81,2.44,10,0
15.18,89.56,1005.63,8.38,121.01,49.69,13.1,14.42,4.03,4.37,-1.31,7,1
29.62,81.13,1003.59,4.59,305.07,2.78,25.85,1.31,6.4,1.38,0.19,10,0
26.99,39.82,986.48,21.47,139.13,33.93,14.96,9.12,2.49,0.91,-2.68,1,0
